gene	TAM 1	TAM 2	prol. TAM6	prol. TAM13	DC1	DC2	DC3	DC4	Monocytes	T cells	Regulatory T cells	NK cells	B cells	plasma B cells	Mast cells
Man1c1	0.17336197	0.283436162	0	0.262791044	0.043650375	0.05127362	0.009011782	0	0	0.018936311	0.016213394	0.04225652	0.026830352	0.029143013	0.021889767
Rhoc	0.193931507	0.806420109	0.151173098	0.656805635	0.105432009	0.130793675	1.483588613	0.041004345	0.205591314	0.173578614	0	0.48006843	0.041740547	0.024435078	0.210691399
Hist1h1c	0.326098549	0	0.919194543	1.098002571	0	0	0.696584906	0	0	0	0	0	0	1.052731987	1.331123299
Foxo1	0.084624014	0.113967683	0.074435898	0.113297138	0.058208841	0	0.298910755	0	0.089816913	0.375264052	0.610771414	0.295491816	0.395156685	0	0
Bhlhe40	0.453439416	0.282395287	0.392795301	0.284779578	0	2.74172701	3.05081566	0.428886264	0	1.473993916	1.262630425	1.719034736	0.425718616	0.114785532	0
9030617O03Rik	0.120366848	0	0.14289291	0	0	0	0	0	0	0	0	0	0	0	0
Inppl1	0.116932613	0	0	0.141856537	0	0	0	0	0	0	0	0	0	0	0
Foxp1	0.306261127	0.377236172	0.280873221	0	0.258763706	0	0.986518993	1.462150995	0	0.888959124	0	0.885298198	1.886009059	0.213413145	1.153264369
Cd53	2.914836186	0	2.289552738	0	2.102248755	0	0.726935254	0	5.602609164	0	7.348295581	0	0	1.238862896	0
Fkbp3	0.650889584	0.531697921	0	0	0	0	0.34204383	0	0.469645947	1.947416111	2.110563199	1.455438162	0	0.389579584	1.323975823
Lbr	0.174153584	0.067278472	0.588775159	0	0	0	0.058816841	0.698181298	0.203087669	0.64603016	0.852478604	0.578880215	0.491556047	0	0.773292177
Zc3h12a	0.298360909	0	0	0	0.099069351	0	0.155132075	0	0	0.118089211	0	0.151712453	0	0.054230193	0.146562096
Nacc2	0.14464269	0.23484881	0	0	0	0	0	0	0	0.01444219	0	0	0	0.322047006	0
Trem1	0.152914053	0	0.157102969	0	0	0.207589125	0	0	0.291927982	0	0	0	0	0	0
Jak1	0.696336746	0	0.674308856	0	0.530763788	0.771920102	0	0.835126015	0	2.160293834	1.940553522	3.22355132	0	0.225906251	1.573967538
Arrb1	0.147386589	0	0	0	0.161771608	0	0	0	0	0	0	0	0	0	0
Cenpw	0.148352704	0.122667618	0.819665672	0.880893005	0.428661188	0	0.051805037	0.070817953	0.069286709	0.477194798	0.564137779	0	0.1632632	0	0.695893032
Rsbn1l	0.575537241	0	0	0	0	0	1.125119252	1.30784085	0	1.217816312	1.255657887	1.207542032	0	0.472802819	0
Hist1h4i	0.086728663	0	0.346697827	0.385470689	0	0	0	0.090482009	0	0	0.340910024	0	0	0.349497969	0.386121288
Tec	0.22956075	0	0	0	0.103667805	0.082167047	0	0.058641524	0	0.082802877	0	0	0.292396183	0.062068898	0
Tlr4	0.114166306	0.124541038	0	0	0	0	0	0	0	0	0	0	0	0	0
Anp32e	0.497497702	0.462152105	1.642968651	1.474066767	1.272307177	1.07931779	0.387337274	1.187745808	0.447411156	1.028655002	1.265731363	0	0	0	1.108101533
Ddi2	0.306788487	0	0	0	0	0	0	0.350564734	0	0.118200155	0.147572407	0.104653656	0	0.136830063	0.136697874
Hspa1a	0.513668253	0.186857268	0	0.12758388	0.875523879	0.644518175	0	0.273212474	0.702986583	0	0.167181505	0.280950995	0.102850064	0.147097976	0
Mdh2	1.366017731	1.298424695	0	0	0	5.208271817	0	0	0	0	2.419243771	0	0	0.926622105	0
Tagln2	2.501916376	1.701545521	5.362091072	0	4.467790137	0	12.7717792	6.842621164	0	0	5.187399863	0	1.735299078	0.709245939	6.158988548
Ppp1r12a	0.316063443	0.34322065	0.304619491	0.338829535	0	0	1.075861057	0	0	0.970534888	1.036973303	0.92148649	0	0.135711728	0
Nagk	0.430250708	0.550969543	0	0	0	0	0.678843378	0	0	0.110407641	0.132710221	0.17904141	0.151669162	0.094704659	0
Mettl23	0.552556148	0.650077937	0.534169383	0.572106808	0.44708193	0	0.578356451	1.287242752	0	1.56778053	1.612037819	1.111764537	1.1421428	0.385457636	0
Mgst3	0.235373718	0	0.270378577	0.256215667	0	0	0.076506395	0	0	0.048476212	0.050659313	0.031417718	0.070123185	0.024149916	0
Agps	0.321414053	0	0.440912836	0.372402974	0	0	0.141854851	0	0	0.127106087	0	0.115920595	0.159309046	0.082756517	0
Chsy1	0.088401935	0.126254181	0.074786976	0.116743079	0.107527433	0.101745399	0.043547826	0.096920511	0.10513961	0.45881412	0	0.871319878	0	0.036099918	0.730182972
Mag	0.119383499	0.185752403	0	0.148671132	0	0	0	0	0	0	0	0	0	0	0
Prkar1b	0.13782491	0.152467917	0	0	0	0	0	0	0	0	0	0	0	0	0
Limd2	2.170732011	0	1.892880979	0	1.662834068	3.439160963	1.747174032	1.104929466	1.876048354	4.089391436	5.075729678	3.606883603	3.6840984	0.795650149	1.16992698
0610011F06Rik	0.119292697	0.080924039	0.115098732	0.088600539	0	0	0	0	0.119497222	0.433216127	0.531896377	0.539043077	0.446342542	0	0.148310787
Mgrn1	0.284711598	0.347351792	0	0	0	0.143483941	0	0.130839045	0.323042466	0.056817216	0.09120997	0	0	0.082000872	0.074475189
Dok2	0.12267075	0.088661893	0.188946271	0.079045183	0.031499961	0.100415194	0.034282872	0.127949033	0	0.610563236	0.877774432	0.766837252	0.030896147	0.033369782	0.106919603
7-Sep	0.912214903	0.800860455	0	0	0	0	0	0	0	1.837797394	3.132164103	1.764243277	0	0.533974314	1.888251483
Fam129b	0.191987361	0	0	0	0.030655534	0	0.043898186	0.012050608	0.41321528	0.018773245	0.040566878	0.041468585	0.029728686	0.031815372	0
Il2rg	1.167748775	1.069708809	1.038224571	1.041463045	0.290218566	0	0	0	0	2.937960061	3.074399648	2.983392438	0	0.530275913	1.249340363
Nop10	1.420459571	1.359424564	0	0	0	0	0.607012698	0	1.295725466	2.592263799	0	3.288356236	2.827241035	0.787283872	3.412544399
Myo7a	0.139517091	0.201168674	0.1490291	0.18683364	0	0	0	0	0	0.011455235	0	0	0	0	0
Usp30	0.126268682	0.158196347	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc7	0.675127073	0.641192282	0.686974968	0.746012401	2.043658201	3.437100876	0	16.39354973	0.879651789	0.863055622	0.944051673	0.716536648	8.167859305	0	0.684548413
Senp6	0.238733277	0	0.218347565	0	0	0	0	0.643586995	0.250388458	0.574805312	0.704347767	0.572782503	0.618677357	0	0
Gm20703	0.142146723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc20	0.257283932	0	0.22607254	0	0.245117416	0.26438954	0.21108264	0	0.292192481	0.725865464	0.967460475	0.782521399	0.585761805	0.210038469	0
Utrn	0.067135109	0	0	0	0	0	0	0.300588923	0	0.557661131	0.367719745	0.393804622	0	0	0
Agpat3	0.166973594	0.401380082	0.146078173	0	0.735998785	0.055460481	0.066532242	0.151994014	0.13680812	0.418237456	0.55403806	0.445139302	0	0.162954622	0.131536119
Dock2	0.680386607	1.254435545	0.650014431	0	0.521798577	0.630827647	0	1.254879913	0.635746199	1.180799138	1.512036692	1.286744264	0	0.295973985	0.587570663
Cd3eap	0.29469017	0	0	0	0	0	0.042904825	0.132501653	0	0.156803037	0.112190591	0.122065854	0.160892446	0.050059435	0
Rnf167	0.152566802	0.182817408	0.166191247	0	0.465112705	0	0.424417582	0.54170474	0.170899047	0.454062648	0	0.404082654	0	0.121857662	0
Lrrc8c	0.128393932	0.057046792	0	0.09190024	0	0.384830723	0.55493758	0.111460529	0	0.357975788	0.669888992	0.414945887	0	0.112491567	0.146604933
Slc39a3	0.184730498	0	0	0	0.085648979	0	0	0	0	0.092113807	0	0	0.049040208	0.060056701	0.068617885
Itpr1	0.124007922	0.062826605	0.116472614	0.067691721	0.458159625	0.438364344	0	0.727951737	0.310986156	0.302466919	0.342763759	0	0.487832126	0.087630213	0.108290101
Cenpa	0.305620365	0.177029864	2.935172449	2.996643804	0	0	0.303244843	0.166380461	0.21448258	1.002477903	2.239045339	0	0.456278319	0.340223243	0
Syngr1	1.304242401	7.923231208	1.09688116	6.689484518	0.172972012	0.236375061	0.146101716	0.140656795	0.906311343	0.151694413	0.166362827	0.188144593	0.243219273	0.147671991	1.083993446
Gm15417	0.15641597	0	0	0	0	0	0	0	0	0.034041158	0	0	0	0	0
Kif1c	0.155922199	0	0	0	0	0	0	0.033472798	0	0.06728775	0.064089541	0	0	0	0
Nfkb2	0.202747758	0.189396015	0.175470464	0.173672393	0	0.438657867	2.078963291	0	0	0	0.646916983	0	0	0.129961298	0.113833704
Galnt7	0.343824308	0.446091474	0	0	0	0.121380681	0	0.073876655	0	0.162012942	0.14891291	0.185920367	0.078540291	0.07083613	0.134546558
Hdac1	0.397275674	0.386405613	0	0	0.879430226	0	0	1.401963153	0	0.861009606	1.008453473	0	0	0.197141816	0.400179521
Prune2	0.180181796	0.319752202	0.19351615	0.266166258	0.014389075	0.02788708	0.009395893	0.006741464	0.027903867	0.009185971	0.011558269	0.015262129	0.01819675	0.011702568	0.03886878
Slc36a1	0.177390831	0.229138282	0	0.220461527	0.019936659	0.041660383	0.017841663	0.041449938	0	0.032218624	0.039846198	0.039356567	0.037705079	0.025108186	0.068919482
Tyms	0.14741912	0.15254732	0.991092577	0.881336878	0	0	0.194706289	0.087686362	0.072813705	0.385942952	0.694511813	0	0.172813188	0.148397747	1.00058027
Traf3ip3	0.208122461	0.257120848	0.210989888	0.248787586	0	0	0.127870433	0.205047424	0.19443631	0.750397683	0.871168475	0.656958031	0.545937431	0.195810565	0.10339989
Rab13	0.115927585	0	0.141933159	0	0.160430322	0	0.377819958	0	0	0	0	0	0	0	0
Mfsd11	0.229267819	0.28010415	0	0.315013081	0.083261736	0.081487528	0.045041552	0	0	0.060849708	0.057270857	0.06139799	0.090602634	0.095983571	0
Me2	0.146549191	0.173911714	0	0	0.476624356	0	0.164631322	0.593852988	0	0.362937766	0	0.475811753	0	0.118750185	0.471227169
Osbpl3	0.105007	0.040877055	0.106753441	0.05570965	0	0.070019312	0.333220682	0.032545926	0	0.402635648	0.645179928	0.596776925	0.056404552	0	0.04695447
Rbm47	0.316546824	0.370345925	0	0	0.432281331	0.362027753	0.131995861	0	0.347409664	0.025297913	0.049921534	0.015289365	0.098075285	0.155747788	0.065469329
Dut	0.413317491	0.277909945	1.223085499	0	1.115247213	0	0.209619529	0.248913104	0.10781968	1.686573963	1.973380544	1.152421967	0	0.417136847	1.116685062
Atp11b	0.206801763	0.136569622	0.207139288	0.162103734	0.216865084	0	0.499459994	0	0	0.696016688	0.767487656	0.821136779	0	0.117656615	0
Rab27a	0.059464284	0	0	0	0	0	0	0.233128983	0	0.304360881	0.392006339	0.291624215	0	0.076689122	0
Slc7a5	0.066658962	0	0	0	0	0.51014076	0	0.415981077	0	0	0	0	0	0.317271653	0.436555504
Aebp2	0.200750083	0.191415661	0.27211067	0.210423395	0.254465613	0	2.416120336	0.181982301	0.172624593	0.605753429	1.289237513	0	0	0.110722142	0.181950754
Lrp12	0.112167597	0.129020941	0	0	0	0	0	0	0	0	0	0	0	0	0
Ran	3.021357491	2.783579634	7.351606663	6.986724119	0	0	2.51867861	2.472957783	2.113537998	0	6.057816954	4.848960059	0	1.504118455	0
Cbx3	0.443305536	0.430619538	1.204703962	1.083073865	0	0	0.444898172	0	0.242767428	1.033791603	1.420280456	0	0	0.293074056	0.989200352
Lsm4	1.587718382	1.416423023	0	0	2.79448311	0	1.098952264	0	0	2.708749956	2.951880743	0	0	0.925454809	0
Stmn1	0.712100085	1.021251027	7.800810592	9.09541166	2.885996527	0	0.353750771	0.229891605	0.201223837	2.46763643	4.442300674	0	0.672707697	0.779812124	3.199370166
Grk6	0.147548512	0.085676695	0	0.159301523	0	0	0.124903021	0.49330131	0.1625129	0.549839676	0.398936171	0.430321013	0.6691445	0.165077674	0.16042057
Psph	0.133246446	0.157130633	0	0	0	0	0.11215184	0	0.093899075	0.469318762	0.66734374	0.37384804	0	0	0
Rpl9-ps6	2.088778682	0	1.731448521	0	0	0	2.028820879	0	0	3.872466221	0	4.294596871	4.507450744	1.295526096	0
Mzt2	0.426842849	0.767323323	0.476320358	0.743471555	0.11367594	0.174090323	0.069930587	0.148159767	0.131205273	0.171024892	0.157346529	0.115596052	0.12145243	0.146392678	0.167965717
Incenp	0.137024824	0.127272903	0.935432793	0.934841184	0	0	0.048145768	0.077818134	0.084176581	0	0.584032614	0	0.119817042	0.120611594	0.156717699
Rai14	0.153528788	0.229896921	0	0.209233284	0	0	0	0	0	0.015564729	0	0	0	0	0
Cblb	0.062145177	0	0	0	0	0	0.975732516	0	0	0.384319732	0.424522224	0.307072469	0	0	0
Rbbp7	0.411763839	0.456774991	0.965019949	0.975746443	1.09576212	0	0	0	0.297658803	0.804124372	1.111902488	0.813019523	0	0.257628715	0
Slc35f5	0.110084722	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smc6	0.509062402	0.451233074	1.126161132	1.01745875	0	0	0	1.109220326	0.500501921	1.113811157	1.394376169	0	1.090990119	0.376846601	0
Nr4a2	0.152580596	0.078628702	0.108318171	0.078491447	0.415139688	0	0.832326892	0.03459521	0.459277242	0.557521325	0	0.399510468	0.108086255	0.031763927	0
Arpc5l	0.773446503	0	0	0	1.734195262	1.775097207	1.530337602	2.058423944	0.747775276	0	1.419775845	1.375541099	2.296522026	0	0
Tuba4a	0.196543974	0.072253943	0.205373493	0.109300063	0	0	0.188694465	0	0.440885923	0.562746043	0.599159581	0	0	0	0.675083834
Asf1a	0.126138899	0.112616769	0.314923736	0	0	0	0	0.269535179	0.117027173	0.297950684	0	0	0	0.111204951	0
Gas6	0.138160749	1.088322131	0.098402486	0.511055746	0.013097372	0.025900234	0.025490661	0.015756621	0.041358398	0.011899903	0.017138073	0.01569976	0.04439527	0.010708457	0.05210665
Tpr	1.240456284	0	0	0	0	0	0	1.088263478	0	1.988542656	2.331801665	1.958238106	0	0.642447666	0
Tia1	0.26901285	0	0	0	0	0	0	0.588392106	0.279838136	0.572314912	0.583914531	0.609530434	0.62180627	0.259344951	0
Mospd2	0.262155559	0.282869725	0	0	0.444313837	0	0.095015738	0.089116221	0	0.059416916	0.070330166	0.062447845	0.100376535	0.036841724	0.075168062
Ttc28	0.091119361	0.590195105	0	0.465811616	0.065433507	0.020232204	0.028182616	0.005060184	0.028582415	0.042250116	0.035655854	0.066446836	0.032486063	0.017011178	0.275192529
Hjurp	0.141277426	0.121622355	0.638304485	0.769669344	0	0	0.139113519	0.162983373	0.135622572	0.344266754	0.50453847	0	0	0	0
Cops4	0.446750967	0	0	0.761251908	0	0	0.41747009	1.648040871	0.412745546	0	0	0	0	0	0
Dgat1	0.083426755	0	0.088104342	0.093436512	0	0	0	0	0	0.257841937	0.870459934	0.390060688	0	0	0
Dnaja1	1.326162502	0	0	0	0	0	0	0	0	2.357367651	2.410735356	0	0	0.633818475	0
Uhrf1	0.092451825	0.094591789	0.436375739	0.396766405	0.23476335	0	0	0.029953818	0.019560398	0	0.304935283	0	0	0.068543548	0
Mcemp1	0.195372801	0.103237468	0.178869344	0.102261064	0.066587693	1.855506182	1.477858455	0.055246662	1.748037068	0.015401629	0.019487297	0.014918452	0.058097065	0.035104028	0.06602252
Mxd1	0.366395756	0.227385741	0.312201388	0.274324704	0.285609805	0	3.112455008	0	1.364171029	0	1.480501226	1.062742287	0.226872681	0.181639339	0
Usp18	1.038045074	0	0	0	0	2.035360483	0	0	2.811127231	0	0	0	0.824989449	0.273227922	1.005221283
Irf8	3.737220282	0	3.573683416	0	22.39490109	2.107559318	11.79131408	34.70821999	0	1.369127357	1.778725789	7.219805902	0	0.721346485	0.692706866
Ly6c2	4.449544027	0.716125519	1.520395639	0.573989139	1.958987552	6.270188208	0.977934037	66.29172429	43.69586782	17.34087116	1.427069028	4.142992156	3.377141184	44.10927969	1.712900624
Syngr2	2.121399876	1.98516504	1.780110268	1.854172332	3.855080995	7.830020088	16.87274282	11.96023765	0	0.87506865	0	1.302122001	0	1.072456773	1.130419379
Mndal	2.228286319	0.535732672	0	0.588824315	0	4.031110536	1.38510666	0	5.412932751	4.057040684	3.955186652	3.769596774	4.174027372	0.636261301	1.075233511
Lta4h	0.137975952	0.136260316	0	0	0	0.354548215	0.068634054	0	0.126605858	0.343845307	0.340221157	0.618653259	0	0.068477101	0
Nap1l1	1.431412421	1.046964948	2.629056237	0	2.781855711	2.751358754	3.050535165	0.935724096	1.033358425	2.149103348	2.505547911	0	2.996170914	0.701970289	0
Dek	1.532393124	1.29595769	3.786820785	3.364178915	2.872494895	2.43287931	0	0	0	0	2.679742238	0	1.422025167	0.20059565	1.416846785
Erh	2.217203043	0	3.706423752	3.750877415	3.682090626	0	1.883445623	0	1.932550716	0	4.049464459	0	0	1.558085702	3.462597557
Nudt4	0.17807532	0	0.422768764	0.5262901	0	0	0	0.066104634	0.122467648	0	0.413460378	0.444694784	0.162484618	0.161786666	0.129318181
Ifngr1	1.13978565	1.149494848	0.914064735	1.022090584	0.992138877	0	0.462504816	0.305161846	0	2.749124202	6.744784993	4.104746872	0.668284278	0.285117362	0.670150371
Ppp1r11	0.892712907	0	0	0	3.917260093	2.16049457	0	2.445098957	0	0	1.544275706	0	0	0.679574257	0
Ywhaq	0.927668309	0.890401884	0	0	0	0	2.457188851	0	0.862018061	0	1.78517747	1.911655646	0	0	0
Marcksl1	0.820749275	0.646797756	0	0	0.70513898	3.010474527	16.46988778	0.281771961	2.303767814	0.292475456	0.37760122	0.129564624	0	0.156138048	0.269739121
Rps18-ps3	0.993734838	0	0.958374247	0	0	0	0.671190847	0	0.812214115	1.888980144	0	2.132937836	2.362373286	0.633641804	2.299965582
Tmed5	0.830957291	0	0	0	0	0	0.47079333	0	0	0	0	1.422803175	0	0.632370402	0
Bzw1	0.72446543	0	0	0	0	0	0	1.30070286	0	1.26339208	1.730122324	1.222682055	0	0.563865424	0
Nudt21	0.725401374	0.523481749	0	0	1.260516517	0	0	0	0	1.391355491	1.642484677	0	0	0.444451038	0
Rbbp4	0.677680636	0	1.133584652	0	0	0	0	0	0	1.09322937	1.360987928	1.220426231	0	0.448643782	0
Ifi203	2.021017283	0.453393514	0	0.486923768	1.782859767	3.797810076	0.839348512	0	4.904504335	4.382208793	4.432875517	3.806598843	4.331202067	0.432872338	0.960311309
Cirbp	0.82795121	0.49955129	0.708282691	0.474951196	0	0	1.890720902	2.418703813	0	1.535619699	1.695334618	1.563767117	0	0.431498955	0
Hif1a	0.652732067	0	0.583396187	0	0.53737395	0	0	0.686319437	1.616398626	1.355359119	4.002098086	0.536306025	0	0.166297852	0.579559735
Gsr	0.2647128	0.253889862	0.214764829	0	0.239822465	0	0	0.802838206	1.343360646	0	0	0	0.11598674	0.113047007	0
Rpl13-ps3	0.802072747	0	0.73062056	0	0	0	0.607492517	0	0	1.486919274	0	1.710088796	1.74082576	0.5590717	1.537108236
Dusp11	0.651263243	0	0.587537547	0	0.651391819	0	1.534819899	0	0	1.221859935	1.267192717	1.244613873	0	0.502624267	0
Ppdpf	0.678023692	0.571305112	0.55137704	0.519999831	0.602101128	1.257193043	2.800593433	1.482922965	0	0	1.197120388	0	2.319446079	0.55881772	0
Atrx	0.666640394	0.660204234	0	0	0	0	2.07263878	1.304094011	0.664943201	1.161777049	1.501985127	0	0	0.453496675	0
Fubp1	0.685634543	0	0	0	0	0	0.618279213	0	0.678990323	1.321326343	1.449091613	1.326053599	0	0.302810407	0
Tap2	0.676033911	0.594236365	0	0.601407686	1.336367895	0	1.535066433	0	0	0	1.606634732	0	0.617667329	0.492889	0.456037612
Tbrg1	0.556245159	0.27673537	0.53941403	0.279899446	1.320352321	1.389446485	1.574994009	0	0.461667554	1.47927687	1.745036573	1.162809496	0	0	0
Smarca5	0.535229218	0	0	1.073131011	0	0	0	0	0	0	1.067090149	0	0	0.306480247	0
Tmem128	0.566918836	0	0	0	0	0	1.446015239	0	0	0	1.142445471	0	0	0	1.10129977
Ccnd2	1.739693801	0.350972736	1.696848386	0.413172131	0	7.04448029	7.397167112	4.070336292	1.279577821	4.167178144	5.70803152	3.707158619	0	0	3.382102172
Ppm1g	0.525042147	0.490894219	0	0	0	0	0.468125605	0	0	0.905188751	0	1.070631089	0	0.354792535	0
Cbx1	0.565204468	0	0.964644533	1.060238855	0	0	0.977114123	0	0.523441616	0	1.035096803	0	0	0.422056471	0
Cnp	0.633812678	0.574815805	0.547480622	0.568115898	1.298418158	0	0.319833569	3.323698121	0	1.264241088	1.302158005	0	1.837362681	0.2961982	0.364495347
Ssrp1	0.58218622	0.499309936	1.168414001	1.143149119	0	0	0.410143043	0	0.521650729	0.939405754	1.184619069	1.088068359	0	0.368517796	0
Odc1	0.558155057	0.563946359	0.764785384	0.716833611	0	0	0.638311976	0.498125123	0.374738381	1.398710221	7.715681312	0	0.764261149	0	0.466860458
Mif4gd	0.520412192	0	0.496649783	0	0.518927616	0	2.612182819	0	0	0	1.717200451	0.370015735	1.521699687	0.254914807	0.290380436
Rnaseh2c	0.587366745	0	1.283813517	1.456464792	0.495270297	0	0.399441456	0.431353068	0	1.125200962	1.187459976	1.266605711	0	0	0.389295401
Dap	0.542545853	0.532823685	0.532945123	0.505389124	0.429943975	0.433883494	0	3.394826729	0	1.06126761	1.050186171	0	0.398205378	0	0
Gm6133	0.547232204	0	0.456823716	0.48383399	0	0	0	0	0.5113101	1.018114142	0	1.01279871	1.217183307	0.375009033	0
Tuba1a	0.524359733	0.760143007	0.491068772	0	0	1.700068164	13.11362001	0	0.70428295	0.67060396	0	0.48940473	0.431517391	0.459422381	0.393307983
Ift20	0.506786728	0	0.450338225	0	0	0	0	1.088429393	0	0	0.917534534	1.032316628	0.468021071	2.20565873	1.038346488
Tmem123	0.569484252	0.359548997	0.555096953	0.372060546	0.322061875	0	14.38747831	1.70794098	0.498969922	0.672110271	0	0	0	0	0
Igtp	0.634813905	0.64984449	0	0	0.300242406	0	0.386273139	0.454536212	1.499038035	1.285586554	2.161472647	0	0.569020224	0.468883883	0
Dynll2	0.480710416	0	0	1.013083527	1.181144391	0	1.77814816	0	0.221692772	0	0	0	0.31309547	0.197225582	0
Rilpl2	0.645181421	0.575409568	0.569590139	0.485754403	0.240072759	0.405249061	0	2.67062988	0	0	2.870841239	0	1.195789981	0	0.239457965
Cetn2	0.46869095	0	0	0	0	0	0.372427794	0.936582783	0.385000057	0.918478981	0.890380518	1.190019247	0	0.235635231	1.204636468
Naaa	0.694882037	1.182938629	0	1.178307903	8.582646376	1.181890587	0.136638095	0.102321983	1.262710978	0.09906056	0.10594956	0.0944747	0.282285042	0.088783567	0.206207285
Dnajc8	1.217062591	1.051409498	0	0	2.586705061	0	2.59114967	0	0	0	2.09612968	0	0	0.557137746	0
Diaph1	0.539357551	0.363321163	0	0.385570998	0	0	0	0	1.050940558	0.912270187	1.109125871	1.008557064	0.499984948	0.154364425	0
Arhgap9	0.46785319	0.334931392	0	0.498352167	0.376616183	0	0.188455013	0.463102405	0	1.324496649	1.219646294	1.223948082	0.483989644	0.149729707	0
Ppa1	0.429091415	0.38614384	0	0	1.121601324	0	0.459318945	0	0	0.829338667	1.159334064	0	0	1.314033898	0
N4bp2l2	0.490206578	0	0	0	0	0	0	1.050223074	0	0.958549624	1.003538451	0.929375342	0.974938735	0.444494335	0
Hnrnpr	0.448375765	0.418228206	0	0	0	0	0	0	0.384397049	0.861214996	0.959186817	0.796361421	0.778529262	0.273355876	0
Prpf4b	0.451787437	0	0	0	0	0	0	0	0	0.82006909	0.841434857	1.063269728	0	0.387850993	0
Pam16	0.392984969	0	0	0	0.335193913	0	0	0.795854652	0	0.709160464	0	0.759384238	0	0	0.838615542
Uba52	2.045191426	0	0	0	0	0	0	1.844515179	1.808131634	3.753459017	0	3.413405886	3.666861339	1.23383941	3.507319994
Matr3	0.446694197	0	0	0	0	0	0	0.900959536	0	0.83415417	0.849147346	0.805317629	0.865127809	0.28726162	0
Fam133b	0.389626391	0.367515491	0	0	0.403120786	0	0	0.724364033	0	0.847839604	1.266585928	0	0	0.256638733	0
Alkbh1	0.446002248	0	0	0	0.91239074	0.779320205	0.83448981	0.946633557	0.390633507	0	0	0	0.979537761	0.260983209	0
Grcc10	0.439629784	0	0.308905287	0	0	0.393787714	0.352368714	0	0	0.823423571	0	1.120016699	0.819485628	0.159722384	0
Ifi27	0.532593005	0.39541669	0.393371283	0.343283311	0.248194754	0	0	0.460959344	0.327799703	1.317225678	0.978174976	1.525294032	0	0.425255151	2.30355249
Mrps16	0.971635261	0.835554835	0	0	0	0	0	0	0	1.880602616	1.810151769	0	0	0.529079275	0
Pop5	0.4216527	0	0	0	0	0	0	0	0.333369143	1.007661897	0.896345307	1.001137469	0	0.43315173	0
Etnk1	0.418757022	0	0	0.819603377	0.40084692	0	1.293079909	1.02134253	0	0	0	0	1.098315317	0	0
Sun2	0.15131008	0	0.291439071	0.383613626	0	0	0	0	0	0.28899593	0	0	0	0.07178066	0.084075154
Ankrd12	0.431782773	0.447149565	0.251521561	0.307920926	0	0.325597109	1.277135469	1.085445524	0	1.026720454	1.516103269	0.877794287	0.878632081	0.473517229	0
Med30	0.351848471	0.330642537	0	0	0	0.723055104	0	0	0	0.644598027	0.639089607	0	0	0.295850533	0
Myo1g	0.374239761	0.274143316	0	0.291508554	0	0	4.942393159	0.312207168	0	0	0.986090428	0	0	0.166425749	0.293730916
Bloc1s2	0.401141929	0.290495716	0	0.300706783	1.6276452	1.455048447	0.748753053	2.330593049	0	0	0	0.387197796	0	0.236109584	0
Trim30d	0.481654205	0	0.431652092	0	0	0	0.906496511	1.315709601	1.048944526	0	0	0	0	0.183342989	0.365685616
Ssb	1.16720854	0	0	1.866643973	0	0	0	0	0	1.789607549	2.504567396	0	0	0.774306688	0
Ppp1cc	0.934283888	0	0	1.604757566	0	0.896662684	0.729017405	0	0.863496653	1.578968477	2.534573728	0	0	0.887736826	0
Dnajc1	0.387685609	0	0.379507112	0	0.308654273	0.357758058	1.06531558	0	0.283187705	0.769479598	1.174434902	0.742948635	0.233451504	0	0
Csrp1	0.357084046	0.238381675	0	0	1.188856782	0.869631948	4.477723097	0	0.349466281	0	1.131082366	0	0.274009716	0.362167119	0
Srsf1	0.374829618	0.357322638	0.672080174	0	0	0	0	0	0.347968295	0.690728864	0.803419856	0.716579004	0.72421336	0.237371522	0
Snrnp40	0.359814548	0.263084444	0	0	0	0	0	0	0	0.633142004	0.753783642	0.602893632	0	0.216192039	0
Ncaph2	0.329764254	0	0.73668135	0.786326606	0.564596241	0	0	0	0	0	0.679144112	0	0.267892674	0.257228806	0
Rpl27-ps3	1.742964903	0	1.55810436	1.71804468	0	0	0	0	0	3.609093119	2.955063417	3.736869908	3.407945767	1.174261077	3.022778002
Itpkb	0.434187664	0	0.380651745	0	0.316568432	0.212348227	0.359191488	0.224982639	0	0.816698979	1.224575159	0	0	0.092771074	0.225916528
Mthfd2	0.337067125	0.338089642	0	0.67724151	1.024232908	0.867402516	2.421437115	0	0	0	0	0.219417433	0.302669613	0.327489535	0
Borcs8	0.389887346	0.335295722	0.349362171	0.298100702	0	0	0	0.97460718	0	0.710629793	0.795377676	0.668549618	0	0.327716625	0
Tubb5	3.776006351	0	13.21838241	14.18441887	7.727121166	0	8.70306393	2.650481212	2.692194922	0	7.064821373	3.331454693	3.920819147	1.795926681	0
H2-Q6	1.192154605	0	0	2.031756932	0.924561177	0	4.50193387	2.794116764	0	0	0	2.128171933	0	0.655441959	0.881182999
Smc3	0.307803164	0.265990774	0	0	0	0	0	0	0.317938152	0.72661095	0.87253692	0.750146135	0	0.275495423	0
Herc6	0.50228446	0	0	0	0.370615573	0	1.282700554	0.426628858	1.079226796	0.815704931	0	0	0	0.148053225	0.377302787
